year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max, NOTE: This file contains annual projection values produced by global climate models. Decadal averages of these values (as shown in the Climate Explorer) are a more appropriate temporal scale for using projections.
2005,63.7,59.5,66.7,63.7,59.5,66.7,
2006,63.7,60.2,67.3,63.5,60.7,66.4,
2007,64.1,60.8,67.4,63.4,61.3,66.2,
2008,63.3,58.4,67.1,64.1,59.5,69.8,
2009,63.4,61,67.3,63.5,59.7,67.9,
2010,63.6,58.7,66.3,63.6,60.1,66.7,
2011,63.9,60.4,69.6,64.2,60.5,67.8,
2012,63.8,61.4,66.8,64.5,62.1,68.7,
2013,63.9,60.5,67.5,64.2,61.4,67.6,
2014,64.5,59.6,67.7,64.2,61.3,67.7,
2015,64.2,61.1,67.1,63.9,61,67.2,
2016,64.3,61.5,66.9,63.9,60.7,66.7,
2017,64.5,61.5,67.9,64.1,60.3,68.3,
2018,64.1,61.8,67.6,64.9,61.1,68.3,
2019,64.7,61.4,68.2,65.3,61.6,69.9,
2020,64.6,62.3,67.2,64.8,61.3,67.5,
2021,64.8,62.2,67.7,64.6,61.5,67.5,
2022,64.4,59.1,69.6,64.9,62.1,68.2,
2023,64.4,59.6,68.3,65.2,61.7,67.8,
2024,65,61.9,69.5,65.2,61.9,68.8,
2025,65.1,61.9,69.2,65.1,61,68.3,
2026,65.6,62.6,68.6,65.2,61.7,67.8,
2027,65.6,62.3,68.9,65.1,62.4,69,
2028,65.7,62.2,70.2,65.2,61.2,69.1,
2029,65.3,60.9,69.1,65.2,61.7,69.2,
2030,65.3,61.8,69.9,65.7,61.7,69.2,
2031,65.4,61.3,68.6,65.8,63.5,69.7,
2032,65.3,62.3,69.7,65.9,61.2,69.1,
2033,65.7,63.1,71.5,66,62.3,69.6,
2034,65.6,62.8,69.2,66.1,62.1,71,
2035,66,62,71,66.1,62,70.5,
2036,66.1,60.1,69.9,66.1,62.6,70.5,
2037,65.7,61.8,71,66,62.9,69.4,
2038,66.1,62.8,70.3,66.2,62.5,70.5,
2039,66.2,62.8,70.1,66.5,62.9,70.6,
2040,66.2,62.3,70.7,66.6,62.3,71.7,
2041,66.1,63,71.4,66.5,63.7,69.7,
2042,66.3,63,70.5,67.1,64.5,70.5,
2043,66.4,63.1,69.7,67.1,64.2,70.4,
2044,65.9,63,69.2,66.9,63.2,70.6,
2045,66.9,62.8,70.4,67.2,62.4,71.1,
2046,66.6,63.2,72,67.2,63.7,71.5,
2047,66.8,63.2,71.5,67.4,63.9,71.8,
2048,66.6,62.5,71,67.5,63.1,73.1,
2049,66.3,61.6,72.3,67.8,63.9,73.4,
2050,66,63.1,70.6,67.5,64.4,71.7,
2051,66.7,62.6,71.3,67.8,63.3,72.3,
2052,66.5,62.9,70.6,67.7,62.4,72.4,
2053,66.6,62.8,70.9,68,64.2,72.2,
2054,67.3,63.6,72.5,68.4,63.9,73.3,
2055,67.3,63.1,72.2,68,62.7,73.3,
2056,67.3,61.6,71.1,68.5,64.8,71.9,
2057,67.5,63.2,73.6,68,63.6,73.1,
2058,67.3,64.1,73.2,69.1,65.9,73.3,
2059,67.6,61.5,72.2,68.8,66.5,73.5,
2060,67.1,62.2,72.2,68.8,64.9,72.9,
2061,67.4,62.2,72.2,68.5,65.6,73.9,
2062,67.9,63,73.1,69.3,64.1,73.2,
2063,67,62.1,72.7,69.4,65.9,73.9,
2064,67.3,62.2,72.2,69.5,65.1,73.5,
2065,67.2,62.8,73.1,69.2,64.7,74.8,
2066,67.5,62.8,73.5,69.9,65.6,74.8,
2067,67.4,62.2,74.5,69.2,63.8,74.4,
2068,67.1,61.8,73.2,70.1,66.5,75.3,
2069,67.9,62.9,74.9,70.2,65.6,75.2,
2070,67.7,62.7,72.2,70.7,65.2,76.2,
2071,67.9,63.9,73.2,70.6,65.4,76,
2072,67.6,64.1,71.9,70.5,65.8,74.8,
2073,67.4,61.7,73.3,70.8,66.7,75.9,
2074,67.9,64.9,73,70.7,66.2,75.7,
2075,67.8,64.5,73.6,71,65.8,76.7,
2076,68,64.3,72.4,71,64.8,77.9,
2077,67.7,62.9,72.7,70.8,65.3,76.9,
2078,67.9,62.6,73.1,71.2,65.8,76.2,
2079,67.3,62.9,74.5,71.1,66.4,76.7,
2080,68,64.6,73.2,71.1,67.4,77.8,
2081,67.8,63.9,72.5,71.7,64.9,79.4,
2082,68.7,64,73.4,71.7,66.7,77,
2083,68.4,64.5,73.4,71.6,65.3,78,
2084,68.1,64.1,73.5,71.5,63.6,77.3,
2085,68.2,65.5,73.9,72,66.8,77.6,
2086,67.7,64,73,72,67.6,78.8,
2087,68.2,62.4,72.4,72.2,68.1,80,
2088,67.7,62.5,73.4,72.3,67.1,78.2,
2089,68.1,63.5,72.9,72,65.8,78.2,
2090,67.8,60.9,73.9,72.6,68.2,79.6,
2091,68.1,62.5,73.5,72.5,67.2,80.1,
2092,68.4,63.3,74.1,72.6,67.4,78.9,
2093,68.6,64.2,74.3,72.9,68.2,78.8,
2094,68.7,64.8,74.5,73.4,68.6,80.8,
2095,68.3,62.6,75.4,73,66.7,78.1,
2096,68.3,63,74.4,73.4,67.6,79.3,
2097,68.1,64,73.9,73.2,67.4,79.1,
2098,68.3,63,74,73.2,66.6,79.7,
2099,68.8,64.2,74.3,73.4,69,80.4,
